dat_iniciosemana;dat_fimsemana;ano_referencia;mes_referencia;num_revisao;nom_semanaoperativa;cod_modelos;id_subsistema;nom_subsistema;nom_usina;val_cvu
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;204;N;NORTE;JARAQUI;0.00
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;207;N;NORTE;PONTA NEGR;0.00
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;209;N;NORTE;TAMBAQUI;0.00
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;203;N;NORTE;C. ROCHA;0.00
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;205;N;NORTE;MANAUARA;0.00
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;212;N;NORTE;MARANHAO3;101.00
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;116;N;NORTE;PARNAIB_IV;151.69
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;140;N;NORTE;UTE MAUA 3;189.02
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;201;N;NORTE;APARECIDA;189.02
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;239;N;NORTE;PARNAIBA_V;205.21
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;447;N;NORTE;N.VEN2_L7;273.69
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;46;N;NORTE;N.VENECIA2;273.69
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;446;N;NORTE;N.VEN2_L22;273.69
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;36;N;NORTE;MARANHAOIV;396.82
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;437;N;NORTE;MARANIVL_7;396.82
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;422;N;NORTE;MARAN_VL_7;396.82
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;21;N;NORTE;MARANHAO V;396.82
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;421;N;NORTE;MARAN_VL22;396.83
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;436;N;NORTE;MARANIVL22;396.83
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;176;N;NORTE;P. ITAQUI;631.92
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;70;N;NORTE;GERAMAR2;1096.55
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;73;N;NORTE;GERAMAR1;1096.55
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;106;NE;NORDESTE;ERB CANDEI;103.47
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;147;NE;NORDESTE;PROSPERIDA;195.14
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;96;NE;NORDESTE;TERMOPE;237.88
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;42;NE;NORDESTE;FORTALEZA;277.36
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;43;NE;NORDESTE;C.FURTADO;374.87
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;224;NE;NORDESTE;PSERGIPE I;399.04
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;83;NE;NORDESTE;JS_PEREIRA;450.86
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;58;NE;NORDESTE;TERMOCEARA;481.58
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;221;NE;NORDESTE;SYKUE I;510.12
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;163;NE;NORDESTE;P.PECEM2;640.82
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;167;NE;NORDESTE;P.PECEM1;651.94
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;98;NE;NORDESTE;PERNAMBU_3;945.42
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;57;NE;NORDESTE;MARACANAU;1066.59
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;152;NE;NORDESTE;TERMOCABO;1083.12
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;67;NE;NORDESTE;TERMONE;1087.17
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;69;NE;NORDESTE;TERMOPB;1087.17
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;52;NE;NORDESTE;CAMPINA_GR;1096.59
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;170;NE;NORDESTE;SUAPE II;1121.15
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;55;NE;NORDESTE;GLOBAL II;1242.43
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;53;NE;NORDESTE;GLOBAL I;1242.43
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;112;NE;NORDESTE;BAHIA_1;1258.49
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;166;NE;NORDESTE;AREMBEPE;1849.77
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;164;NE;NORDESTE;MURICY;1849.77
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;144;NE;NORDESTE;PETROLINA;2029.45
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;161;NE;NORDESTE;POTIGUAR_3;3020.76
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;151;NE;NORDESTE;POTIGUAR;3020.80
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;160;NE;NORDESTE;PAU FERRO;3372.52
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;159;NE;NORDESTE;TERMOMANAU;3372.52
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;48;S;SUL;ARAUCARIA;0.00
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;35;S;SUL;URUGUAIANA;0.00
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;107;S;SUL;PAMPA SUL;82.18
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;149;S;SUL;SAO SEPE;103.39
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;156;S;SUL;CANDIOTA_3;103.76
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;24;S;SUL;J.LACER. C;285.18
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;28;S;SUL;FIGUEIRA;330.64
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;25;S;SUL;J.LACER. B;331.67
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;27;S;SUL;J.LAC. A2;333.15
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;169;S;SUL;MADEIRA;371.01
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;26;S;SUL;J.LAC. A1;392.82
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;254;S;SUL;B.BONITA I;650.00
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;64;S;SUL;S.TIARAJU;698.14
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;12;SE;SUDESTE;CUIABA CC;0.00
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;65;SE;SUDESTE;ATLAN_CSA;0.00
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;153;SE;SUDESTE;DAIA;0.00
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;230;SE;SUDESTE;PREDILECTA;0.00
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;434;SE;SUDESTE;W.ARJONA O;0.00
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;334;SE;SUDESTE;W.ARJONA;0.00
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;13;SE;SUDESTE;ANGRA 2;20.12
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;1;SE;SUDESTE;ANGRA 1;31.17
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;171;SE;SUDESTE;NORTEFLU 1;109.65
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;172;SE;SUDESTE;NORTEFLU 2;125.89
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;229;SE;SUDESTE;O.PINTADA;132.53
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;146;SE;SUDESTE;UTE STA VI;143.16
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;183;SE;SUDESTE;ATLANTICO;230.67
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;173;SE;SUDESTE;NORTEFLU 3;243.49
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;4;SE;SUDESTE;ST.CRUZ 34;310.41
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;68;SE;SUDESTE;TRES LAGOA;319.35
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;63;SE;SUDESTE;AUR.CHAVES;346.37
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;47;SE;SUDESTE;TERMORIO;381.75
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;97;SE;SUDESTE;CUBATAO;400.43
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;211;SE;SUDESTE;BAIXADA FL;429.07
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;86;SE;SUDESTE;SANTA CRUZ;434.42
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;62;SE;SUDESTE;SEROPEDICA;469.39
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;50;SE;SUDESTE;PIRAT.12 O;470.34
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;54;SE;SUDESTE;JUIZ DE FO;522.96
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;110;SE;SUDESTE;FGASPARIAN;654.42
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;15;SE;SUDESTE;LUIZORMELO;675.50
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;174;SE;SUDESTE;NORTEFLU 4;778.95
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;137;SE;SUDESTE;UTE GNA I;849.89
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;90;SE;SUDESTE;M.LAGO;886.91
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;194;SE;SUDESTE;TNORTE 2;910.86
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;9;SE;SUDESTE;CAMPOS;978.10
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;49;SE;SUDESTE;VIANA;1096.57
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;245;SE;SUDESTE;KARKEY 013;1823.33
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;246;SE;SUDESTE;KARKEY 019;1823.33
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;155;SE;SUDESTE;GOIANIA 2;1933.06
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;250;SE;SUDESTE;PORSUD II;2048.20
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;249;SE;SUDESTE;PORSUD I;2063.51
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;182;SE;SUDESTE;PALMEIR_GO;2250.47
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;248;SE;SUDESTE;MPPAULINIA;2618.13
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;108;SE;SUDESTE;XAVANTES;2639.40
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;253;SE;SUDESTE;VIANA I;2735.55
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;247;SE;SUDESTE;LORM_PCS;2735.55
2022-12-31;2023-01-06;2023;1;0;PMO Janeiro 2023;251;SE;SUDESTE;POVOACAO I;2735.55
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;203;N;NORTE;C. ROCHA;0.00
