nomecurto;ear_data;ear_max_bacia;ear_verif_bacia_mwmes;ear_verif_bacia_percentual
AMAZONAS;2022-01-01;2028.23095703125;1037.5909423828125;51.15739822387695
CAPIVARI;2022-01-01;374.95599365234375;188.02699279785156;50.146400451660156
DOCE;2022-01-01;12.89900016784668;12.437999725341797;96.42610168457031
GRANDE;2022-01-01;51476.95703125;13531.490234375;26.286500930786133
IGUACU;2022-01-01;10062.9345703125;4369.6728515625;43.42340087890625
JACUI;2022-01-01;3029.35400390625;1302.5150146484375;42.996498107910156
JEQUITINHONHA;2022-01-01;2967.7880859375;1591.10400390625;53.61249923706055
PARAGUACU;2022-01-01;335.38299560546875;345.2829895019531;102.95179748535156
PARAGUAI;2022-01-01;555.7979736328125;170.42100524902344;30.662399291992188
PARAIBA DO SUL;2022-01-01;7554.89697265625;2220.7109375;29.39430046081543
PARANA;2022-01-01;3691.574951171875;0.0;0.0
PARANAIBA;2022-01-01;78500.9453125;16628.119140625;21.182100296020508
PARANAPANEMA;2022-01-01;12094.4912109375;3617.839111328125;29.91309928894043
PARNAIBA;2022-01-01;264.1780090332031;207.48599243164062;78.54019927978516
SAO FRANCISCO;2022-01-01;52727.2109375;27766.8671875;52.661399841308594
TIETE;2022-01-01;9725.24609375;3813.341064453125;39.21070098876953
TOCANTINS;2022-01-01;49880.60546875;19193.88671875;38.479698181152344
URUGUAI;2022-01-01;5928.34814453125;2459.385009765625;41.485198974609375
AMAZONAS;2022-01-02;2028.23095703125;1058.116943359375;52.169498443603516
CAPIVARI;2022-01-02;374.95599365234375;190.16799926757812;50.71739959716797
DOCE;2022-01-02;12.89900016784668;11.267000198364258;87.347900390625
GRANDE;2022-01-02;51476.95703125;13898.5751953125;26.99959945678711
IGUACU;2022-01-02;10062.9345703125;4373.40380859375;43.46049880981445
JACUI;2022-01-02;3029.35400390625;1300.8790283203125;42.942501068115234
JEQUITINHONHA;2022-01-02;2967.7880859375;1660.39697265625;55.94729995727539
PARAGUACU;2022-01-02;335.38299560546875;349.0870056152344;104.08609771728516
PARAGUAI;2022-01-02;555.7979736328125;178.39100646972656;32.09640121459961
PARAIBA DO SUL;2022-01-02;7554.89697265625;2255.326904296875;29.852500915527344
PARANA;2022-01-02;3691.574951171875;0.0;0.0
PARANAIBA;2022-01-02;78500.9453125;17058.8046875;21.73069953918457
PARANAPANEMA;2022-01-02;12094.4912109375;3625.889892578125;29.979700088500977
PARNAIBA;2022-01-02;264.1780090332031;207.48599243164062;78.54019927978516
SAO FRANCISCO;2022-01-02;52727.2109375;28305.220703125;53.68239974975586
TIETE;2022-01-02;9725.24609375;3873.43701171875;39.82870101928711
TOCANTINS;2022-01-02;49880.60546875;19860.263671875;39.81560134887695
URUGUAI;2022-01-02;5928.34814453125;2437.22705078125;41.11140060424805
AMAZONAS;2022-01-03;2028.23095703125;1060.634033203125;52.29359817504883
CAPIVARI;2022-01-03;374.95599365234375;188.21400451660156;50.1963005065918
DOCE;2022-01-03;12.89900016784668;11.34000015258789;87.91380310058594
GRANDE;2022-01-03;51476.95703125;14247.5390625;27.677499771118164
IGUACU;2022-01-03;10062.9345703125;4330.2099609375;43.03129959106445
JACUI;2022-01-03;3029.35400390625;1294.52001953125;42.73249816894531
JEQUITINHONHA;2022-01-03;2967.7880859375;1713.27099609375;57.72890090942383
PARAGUACU;2022-01-03;335.38299560546875;350.9729919433594;104.64839935302734
PARAGUAI;2022-01-03;555.7979736328125;185.6199951171875;33.39699935913086
PARAIBA DO SUL;2022-01-03;7554.89697265625;2282.909912109375;30.217599868774414
PARANA;2022-01-03;3691.574951171875;0.0;0.0
PARANAIBA;2022-01-03;78500.9453125;17395.775390625;22.15999984741211
PARANAPANEMA;2022-01-03;12094.4912109375;3621.68798828125;29.944900512695312
PARNAIBA;2022-01-03;264.1780090332031;208.9199981689453;79.08300018310547
SAO FRANCISCO;2022-01-03;52727.2109375;28921.8984375;54.851898193359375
TIETE;2022-01-03;9725.24609375;3904.85107421875;40.15169906616211
TOCANTINS;2022-01-03;49880.60546875;20424.17578125;40.94609832763672
URUGUAI;2022-01-03;5928.34814453125;2411.737060546875;40.681400299072266
AMAZONAS;2022-01-04;2028.23095703125;1063.0579833984375;52.41310119628906
CAPIVARI;2022-01-04;374.95599365234375;184.94700622558594;49.32500076293945
DOCE;2022-01-04;12.89900016784668;11.295000076293945;87.56490325927734
GRANDE;2022-01-04;51476.95703125;14698.8388671875;28.55419921875
IGUACU;2022-01-04;10062.9345703125;4308.0810546875;42.8114013671875
JACUI;2022-01-04;3029.35400390625;1288.1619873046875;42.522701263427734
JEQUITINHONHA;2022-01-04;2967.7880859375;1753.541015625;59.08580017089844
PARAGUACU;2022-01-04;335.38299560546875;350.9729919433594;104.64839935302734
PARAGUAI;2022-01-04;555.7979736328125;191.9929962158203;34.543701171875
PARAIBA DO SUL;2022-01-04;7554.89697265625;2312.887939453125;30.61440086364746
PARANA;2022-01-04;3691.574951171875;0.0;0.0
PARANAIBA;2022-01-04;78500.9453125;17731.8984375;22.58810043334961
PARANAPANEMA;2022-01-04;12094.4912109375;3620.299072265625;29.933500289916992
PARNAIBA;2022-01-04;264.1780090332031;208.47900390625;78.91609954833984
SAO FRANCISCO;2022-01-04;52727.2109375;29470.1015625;55.8916015625
TIETE;2022-01-04;9725.24609375;3946.242919921875;40.577301025390625
TOCANTINS;2022-01-04;49880.60546875;21058.462890625;42.21770095825195
URUGUAI;2022-01-04;5928.34814453125;2386.699951171875;40.25910186767578
AMAZONAS;2022-01-05;2028.23095703125;1060.8699951171875;52.305198669433594
CAPIVARI;2022-01-05;374.95599365234375;186.48699951171875;49.73569869995117
DOCE;2022-01-05;12.89900016784668;11.295000076293945;87.56490325927734
GRANDE;2022-01-05;51476.95703125;15189.4521484375;29.507299423217773
IGUACU;2022-01-05;10062.9345703125;4285.07177734375;42.582698822021484
JACUI;2022-01-05;3029.35400390625;1282.0880126953125;42.322200775146484
JEQUITINHONHA;2022-01-05;2967.7880859375;1796.615966796875;60.537200927734375
PARAGUACU;2022-01-05;335.38299560546875;350.5190124511719;104.51300048828125
PARAGUAI;2022-01-05;555.7979736328125;197.83299255371094;35.594398498535156
PARAIBA DO SUL;2022-01-05;7554.89697265625;2344.9619140625;31.038999557495117
PARANA;2022-01-05;3691.574951171875;0.0;0.0
PARANAIBA;2022-01-05;78500.9453125;18158.03125;23.131000518798828
PARANAPANEMA;2022-01-05;12094.4912109375;3616.383056640625;29.901100158691406
PARNAIBA;2022-01-05;264.1780090332031;206.46499633789062;78.15370178222656
SAO FRANCISCO;2022-01-05;52727.2109375;30023.212890625;56.94060134887695
TIETE;2022-01-05;9725.24609375;3988.153076171875;41.008201599121094
TOCANTINS;2022-01-05;49880.60546875;21607.970703125;43.319400787353516
URUGUAI;2022-01-05;5928.34814453125;2373.35791015625;40.03409957885742
AMAZONAS;2022-01-06;2028.23095703125;1061.6839599609375;52.345298767089844
CAPIVARI;2022-01-06;374.95599365234375;186.89999389648438;49.84579849243164
DOCE;2022-01-06;12.89900016784668;12.154999732971191;94.23210144042969
GRANDE;2022-01-06;51476.95703125;15635.1328125;30.37310028076172
IGUACU;2022-01-06;10062.9345703125;4263.669921875;42.369998931884766
JACUI;2022-01-06;3029.35400390625;1276.3780517578125;42.13370132446289
JEQUITINHONHA;2022-01-06;2967.7880859375;1839.7750244140625;61.99150085449219
PARAGUACU;2022-01-06;335.38299560546875;347.656005859375;103.6594009399414
PARAGUAI;2022-01-06;555.7979736328125;203.19000244140625;36.55820083618164
PARAIBA DO SUL;2022-01-06;7554.89697265625;2370.1640625;31.372600555419922
PARANA;2022-01-06;3691.574951171875;0.0;0.0
PARANAIBA;2022-01-06;78500.9453125;18581.318359375;23.67020034790039
PARANAPANEMA;2022-01-06;12094.4912109375;3610.638916015625;29.853599548339844
PARNAIBA;2022-01-06;264.1780090332031;203.43499755859375;77.00679779052734
SAO FRANCISCO;2022-01-06;52727.2109375;30504.2265625;57.852901458740234
TIETE;2022-01-06;9725.24609375;4051.0849609375;41.65530014038086
TOCANTINS;2022-01-06;49880.60546875;22037.654296875;44.18080139160156
URUGUAI;2022-01-06;5928.34814453125;2351.64892578125;39.66790008544922
AMAZONAS;2022-01-07;2028.23095703125;1071.116943359375;52.81039810180664
CAPIVARI;2022-01-07;374.95599365234375;189.97999572753906;50.667301177978516
DOCE;2022-01-07;12.89900016784668;11.857999801635742;91.92960357666016
GRANDE;2022-01-07;51476.95703125;16278.7265625;31.623300552368164
IGUACU;2022-01-07;10062.9345703125;4263.9619140625;42.37289810180664
JACUI;2022-01-07;3029.35400390625;1269.614990234375;41.910400390625
JEQUITINHONHA;2022-01-07;2967.7880859375;1885.759033203125;63.54090118408203
PARAGUACU;2022-01-07;335.38299560546875;348.5979919433594;103.94029998779297
PARAGUAI;2022-01-07;555.7979736328125;207.625;37.356201171875
PARAIBA DO SUL;2022-01-07;7554.89697265625;2410.072021484375;31.900800704956055
PARANA;2022-01-07;3691.574951171875;0.0;0.0
PARANAIBA;2022-01-07;78500.9453125;19101.353515625;24.332599639892578
PARANAPANEMA;2022-01-07;12094.4912109375;3622.512939453125;29.951799392700195
PARNAIBA;2022-01-07;264.1780090332031;201.56399536132812;76.29859924316406
SAO FRANCISCO;2022-01-07;52727.2109375;31226.99609375;59.22370147705078
TIETE;2022-01-07;9725.24609375;4098.591796875;42.143798828125
TOCANTINS;2022-01-07;49880.60546875;22454.267578125;45.01599884033203
URUGUAI;2022-01-07;5928.34814453125;2335.278076171875;39.391700744628906
AMAZONAS;2022-01-08;2028.23095703125;1088.0069580078125;53.6431999206543
CAPIVARI;2022-01-08;374.95599365234375;193.81199645996094;51.689300537109375
DOCE;2022-01-08;12.89900016784668;11.857999801635742;91.92960357666016
GRANDE;2022-01-08;51476.95703125;16887.49609375;32.80590057373047
IGUACU;2022-01-08;10062.9345703125;4276.9638671875;42.502201080322266
JACUI;2022-01-08;3029.35400390625;1269.3759765625;41.90250015258789
JEQUITINHONHA;2022-01-08;2967.7880859375;1936.416015625;65.247802734375
PARAGUACU;2022-01-08;335.38299560546875;348.5979919433594;103.94029998779297
PARAGUAI;2022-01-08;555.7979736328125;211.8470001220703;38.11579895019531
PARAIBA DO SUL;2022-01-08;7554.89697265625;2434.991943359375;32.23059844970703
PARANA;2022-01-08;3691.574951171875;0.0;0.0
PARANAIBA;2022-01-08;78500.9453125;19719.041015625;25.11949920654297
PARANAPANEMA;2022-01-08;12094.4912109375;3633.717041015625;30.04439926147461
PARNAIBA;2022-01-08;264.1780090332031;200.13400268554688;75.7573013305664
SAO FRANCISCO;2022-01-08;52727.2109375;31916.396484375;60.53120040893555
TIETE;2022-01-08;9725.24609375;4144.40185546875;42.614898681640625
TOCANTINS;2022-01-08;49880.60546875;22921.3203125;45.95240020751953
URUGUAI;2022-01-08;5928.34814453125;2327.60009765625;39.26219940185547
AMAZONAS;2022-01-09;2028.23095703125;1113.9759521484375;54.923500061035156
CAPIVARI;2022-01-09;374.95599365234375;197.57000732421875;52.69150161743164
DOCE;2022-01-09;12.89900016784668;11.857999801635742;91.92960357666016
GRANDE;2022-01-09;51476.95703125;17613.74609375;34.216800689697266
IGUACU;2022-01-09;10062.9345703125;4277.64208984375;42.5088996887207
JACUI;2022-01-09;3029.35400390625;1266.81201171875;41.817901611328125
JEQUITINHONHA;2022-01-09;2967.7880859375;1992.3890380859375;67.13379669189453
PARAGUACU;2022-01-09;335.38299560546875;348.5979919433594;103.94029998779297
PARAGUAI;2022-01-09;555.7979736328125;215.5240020751953;38.777400970458984
PARAIBA DO SUL;2022-01-09;7554.89697265625;2442.882080078125;32.33509826660156
PARANA;2022-01-09;3691.574951171875;0.0;0.0
PARANAIBA;2022-01-09;78500.9453125;20442.173828125;26.040700912475586
PARANAPANEMA;2022-01-09;12094.4912109375;3645.955078125;30.145599365234375
PARNAIBA;2022-01-09;264.1780090332031;196.67300415039062;74.44719696044922
SAO FRANCISCO;2022-01-09;52727.2109375;32611.939453125;61.85029983520508
TIETE;2022-01-09;9725.24609375;4200.60400390625;43.19279861450195
TOCANTINS;2022-01-09;49880.60546875;23310.3046875;46.732200622558594
URUGUAI;2022-01-09;5928.34814453125;2312.802001953125;39.01259994506836
AMAZONAS;2022-01-10;2028.23095703125;1121.22705078125;55.28099822998047
CAPIVARI;2022-01-10;374.95599365234375;196.93099975585938;52.52109909057617
DOCE;2022-01-10;12.89900016784668;10.854000091552734;84.14610290527344
GRANDE;2022-01-10;51476.95703125;18301.853515625;35.55350112915039
IGUACU;2022-01-10;10062.9345703125;4260.4140625;42.33769989013672
JACUI;2022-01-10;3029.35400390625;1261.0570068359375;41.627899169921875
JEQUITINHONHA;2022-01-10;2967.7880859375;2055.2470703125;69.25180053710938
PARAGUACU;2022-01-10;335.38299560546875;349.0870056152344;104.08609771728516
PARAGUAI;2022-01-10;555.7979736328125;219.0959930419922;39.420101165771484
PARAIBA DO SUL;2022-01-10;7554.89697265625;2448.720947265625;32.41239929199219
PARANA;2022-01-10;3691.574951171875;0.0;0.0
PARANAIBA;2022-01-10;78500.9453125;21125.130859375;26.91069984436035
PARANAPANEMA;2022-01-10;12094.4912109375;3654.35205078125;30.21500015258789
PARNAIBA;2022-01-10;264.1780090332031;192.80799865722656;72.98410034179688
