nom_bacia;ena_data;ena_bruta_bacia_mwmed;ena_bruta_bacia_percentualmlt;ena_armazenavel_bacia_mwmed;ena_armazenavel_bacia_percentualmlt
AMAZONAS;2022-01-01;22223.50781250;127.71520233;20052.65820313;115.23960114
ARAGUARI;2022-01-01;428.04598999;169.07670593;323.75698853;127.88289642
CAPIVARI;2022-01-01;115.32900238;72.60019684;115.32900238;72.60019684
DOCE;2022-01-01;2007.64196777;121.89550018;1529.91894531;92.89019775
GRANDE;2022-01-01;4657.80517578;51.47259903;4657.80517578;51.47259903
IGUACU;2022-01-01;844.09197998;22.27359962;672.50799561;17.74589920
ITABAPOANA;2022-01-01;137.32000732;133.18040466;68.01799774;65.96749878
ITAJAI;2022-01-01;34.13499832;16.82589912;34.13499832;16.82589912
JACUI;2022-01-01;92.51599884;16.70409966;85.43399811;15.42539978
JEQUITINHONHA;2022-01-01;3226.69897461;310.42150879;2202.10400391;211.85130310
MUCURI;2022-01-01;150.72200012;200.78460693;66.21600342;88.20980072
PARAGUACU;2022-01-01;691.47198486;473.48709106;376.63598633;257.90240479
PARAGUAI;2022-01-01;740.01098633;117.10289764;713.48297119;112.90489960
PARAIBA DO SUL;2022-01-01;1680.91894531;103.43959808;1512.28503418;93.06230164
PARANA;2022-01-01;13222.82031250;59.04560089;13212.37792969;58.99890137
PARANAIBA;2022-01-01;6516.61621094;72.77079773;6507.93896484;72.67389679
PARANAPANEMA;2022-01-01;808.45098877;33.55110168;776.96899414;32.24459839
PARNAIBA;2022-01-01;674.24102783;281.04431152;279.19100952;116.37539673
SAO FRANCISCO;2022-01-01;13492.65625000;100.58329773;13425.06738281;100.07939911
TIETE;2022-01-01;1257.77600098;67.66560364;1257.77600098;67.66560364
TOCANTINS;2022-01-01;29602.88867188;211.56979370;22538.31640625;161.07980347
URUGUAI;2022-01-01;464.22500610;18.98399925;218.02200317;8.91580009
AMAZONAS;2022-01-02;22681.67578125;130.34820557;20875.17968750;119.96659851
ARAGUARI;2022-01-02;487.83700562;192.69389343;335.49398804;132.51899719
CAPIVARI;2022-01-02;100.65100098;63.36029816;100.65100098;63.36029816
DOCE;2022-01-02;2415.37304688;146.65119934;1559.40405273;94.68039703
GRANDE;2022-01-02;5522.08593750;61.02360153;5522.08593750;61.02360153
IGUACU;2022-01-02;844.88800049;22.29459953;732.54199219;19.33009911
ITABAPOANA;2022-01-02;111.05300140;107.70520020;67.10500336;65.08209991
ITAJAI;2022-01-02;34.89400101;17.20009995;34.89400101;17.20009995
JACUI;2022-01-02;95.34300232;17.21450043;88.26100159;15.93579960
JEQUITINHONHA;2022-01-02;3055.71801758;293.97241211;2387.19311523;229.65759277
MUCURI;2022-01-02;117.14900208;156.06030273;58.26399994;77.61650085
PARAGUACU;2022-01-02;735.91900635;503.92230225;403.06500244;275.99969482
PARAGUAI;2022-01-02;700.67901611;110.87879944;674.15197754;106.68099976
PARAIBA DO SUL;2022-01-02;1665.96997070;102.51969910;1501.69201660;92.41040039
PARANA;2022-01-02;12910.48925781;57.65090179;12908.64648438;57.64260101
PARANAIBA;2022-01-02;7756.28320313;86.61409760;7742.57519531;86.46099854
PARANAPANEMA;2022-01-02;812.89202881;33.73540115;812.89202881;33.73540115
PARNAIBA;2022-01-02;615.99700928;256.76638794;220.94799805;92.09790039
SAO FRANCISCO;2022-01-02;13890.83105469;103.55149841;13809.18945313;102.94290161
TIETE;2022-01-02;1285.42602539;69.15309906;1285.42602539;69.15309906
TOCANTINS;2022-01-02;31809.52148438;227.34039307;25326.64453125;181.00779724
URUGUAI;2022-01-02;471.49398804;19.28120041;230.87699890;9.44149971
AMAZONAS;2022-01-03;23243.27734375;133.57569885;21849.38867188;125.56520081
ARAGUARI;2022-01-03;568.45898438;224.53930664;315.10900879;124.46700287
CAPIVARI;2022-01-03;89.14900208;56.11970139;89.14900208;56.11970139
DOCE;2022-01-03;2385.43798828;144.83369446;1465.73205566;88.99299622
GRANDE;2022-01-03;6562.38281250;72.51979828;6556.38085938;72.45349884
IGUACU;2022-01-03;885.05999756;23.35470009;845.63500977;22.31430054
ITABAPOANA;2022-01-03;101.16400146;98.11430359;63.97800064;62.04930115
ITAJAI;2022-01-03;35.31700134;17.40859985;35.31700134;17.40859985
JACUI;2022-01-03;118.38400269;21.37459946;111.30200195;20.09589958
JEQUITINHONHA;2022-01-03;2520.75610352;242.50689697;2139.66088867;205.84399414
MUCURI;2022-01-03;97.01100159;129.23339844;68.24299622;90.91010284
PARAGUACU;2022-01-03;735.58697510;503.69488525;295.57598877;202.39639282
PARAGUAI;2022-01-03;673.10601807;106.51550293;646.57800293;102.31759644
PARAIBA DO SUL;2022-01-03;1657.98095703;102.02799988;1524.77099609;93.83059692
PARANA;2022-01-03;12784.17285156;57.08679962;12782.33007813;57.07860184
PARANAIBA;2022-01-03;8634.40820313;96.42009735;8629.29687500;96.36299896
PARANAPANEMA;2022-01-03;785.87597656;32.61420059;784.33001709;32.54999924
PARNAIBA;2022-01-03;712.60699463;297.03640747;260.04000854;108.39260101
SAO FRANCISCO;2022-01-03;14446.00781250;107.69020081;14396.48730469;107.32099915
TIETE;2022-01-03;1330.68603516;71.58789825;1325.18005371;71.29170227
TOCANTINS;2022-01-03;32244.87500000;230.45190430;24820.24218750;177.38850403
URUGUAI;2022-01-03;492.99398804;20.16040039;326.39001465;13.34739971
AMAZONAS;2022-01-04;23724.10156250;136.33889771;22177.35937500;127.44999695
ARAGUARI;2022-01-04;629.31799316;248.57839966;290.00900269;114.55249786
CAPIVARI;2022-01-04;90.41999817;56.91979980;90.41999817;56.91979980
DOCE;2022-01-04;2412.31591797;146.46560669;1377.73205566;83.65000153
GRANDE;2022-01-04;7554.48583984;83.48329926;7554.48583984;83.48329926
IGUACU;2022-01-04;944.83697510;24.93199921;903.17297363;23.83259964
ITABAPOANA;2022-01-04;99.67700195;96.67209625;60.79999924;58.96709824
ITAJAI;2022-01-04;35.86399841;17.67819977;35.86399841;17.67819977
JACUI;2022-01-04;137.13600159;24.76029968;130.05400085;23.48170090
