nom_reservatorioee;ena_data;ena_bruta_ree_mwmed;ena_bruta_ree_percentualmlt;ena_armazenavel_ree_mwmed;ena_armazenavel_ree_percentualmlt
BELO MONTE;2023-01-01;5387.736;96.1193;5358.688999999999;95.6011
IGUACU;2023-01-01;4292.161;103.6568;4181.558;100.9857
ITAIPU;2023-01-01;3021.6419479999995;89.2482;3021.6419479999995;89.2482
MADEIRA;2023-01-01;5505.965;67.2528;4029.0860000000002;49.2134
MANAUS-AMAPA;2023-01-01;1040.081;209.672;883.2489999999999;178.056
NORDESTE;2023-01-01;12355.788;91.9979;12147.723;90.4488
NORTE;2023-01-01;11287.859;119.8627;10070.811;106.9392
PARANA;2023-01-01;32193.46670400001;87.4389;31711.758704000018;86.1306
PARANAPANEMA;2023-01-01;2817.5133480000004;77.4011;2817.5133480000004;77.4011
SUDESTE;2023-01-01;11118.001;108.5117;9493.337000000003;92.655
SUL;2023-01-01;2096.0119999999997;60.5942;1865.854;53.9405
TELES PIRES;2023-01-01;2667.835;80.2;2256.61;67.8379
BELO MONTE;2023-01-02;5899.544;105.2502;5862.102;104.5822
IGUACU;2023-01-02;4375.045;105.6584;4344.826999999999;104.9287
ITAIPU;2023-01-02;3032.551808;89.5704;3032.551808;89.5704
MADEIRA;2023-01-02;5447.107;66.5339;5423.647;66.2474
MANAUS-AMAPA;2023-01-02;1017.2739999999999;205.0743;821.262;165.5599
NORDESTE;2023-01-02;12451.313;92.7092;12444.878;92.6613
NORTE;2023-01-02;11642.178;123.6251;11288.331;119.8677
PARANA;2023-01-02;34056.875887999995;92.5;33443.926888;90.8352
PARANAPANEMA;2023-01-02;2792.131304;76.7039;2791.3873040000003;76.6834
SUDESTE;2023-01-02;10964.29;107.0115;10009.155999999997;97.6894
SUL;2023-01-02;2010.5300000000004;58.1229;1835.0930000000005;53.0512
TELES PIRES;2023-01-02;2584.623;77.6985;2478.6470000000004;74.5127
BELO MONTE;2023-01-03;6420.5470000000005;114.5451;6383.105;113.8771
IGUACU;2023-01-03;4503.3730000000005;108.7576;4503.373;108.7576
ITAIPU;2023-01-03;3245.534812;95.8611;3245.534812;95.8611
MADEIRA;2023-01-03;5398.476;65.9399;5368.934;65.5791
MANAUS-AMAPA;2023-01-03;965.743;194.6861;822.988;165.9078
NORDESTE;2023-01-03;12510.530000000002;93.1501;12509.1;93.1395
NORTE;2023-01-03;11873.238;126.0786;11762.041;124.8979
PARANA;2023-01-03;35653.90658;96.8376;34983.09458000001;95.0156
PARANAPANEMA;2023-01-03;2650.713608;72.8189;2604.940608;71.5615
